freq;indic_de;geo\TIME_PERIOD,2019
A;JAN;AT,8858775
A;JAN;BE,11455519
A;JAN;BG,7000039
A;JAN;CY,875899
A;JAN;CZ,10649800
A;JAN;DE,83019213
A;JAN;DK,5806081
A;JAN;EE,1324820
A;JAN;EL,10724599
A;JAN;ES,46937060
A;JAN;FI,5517919
A;JAN;FR,67012883
A;JAN;HR,4076246
A;JAN;HU,9772756
A;JAN;IE,4904240
A;JAN;IT,60359546
A;JAN;LT,2794184
A;JAN;LU,613894
A;JAN;LV,1919968
A;JAN;MT,493559
A;JAN;NL,17282163
A;JAN;PL,37972812
A;JAN;PT,10276617
A;JAN;RO,19414458
A;JAN;SE,10230185
A;JAN;SI,2080908
A;JAN;SK,5450421
